sentence,original_label,original_book,book_Anna_Karenina,book_Frankenstein,book_The_Adventures_of_Alice_in_Wonderland,book_Wuthering_Heights
Would the fall _never_ come to an end?,0,The Adventures of Alice in Wonderland,0,0,1,0
I wonder how many miles I ve fallen by this time?,0,The Adventures of Alice in Wonderland,0,0,1,0
she said aloud.,0,The Adventures of Alice in Wonderland,1,1,1,1
I must be getting somewhere near the centre of the earth.,0,The Adventures of Alice in Wonderland,0,0,1,0
"Let me see: that would be four thousand miles down, I think (for, you see, Alice had learnt several things of this sort in her lessons in the schoolroom, and though this was not a _very_ good opportunity for showing off her knowledge, as there was no one to listen to her, still it was good practice to say it over) yes, that s about the right distance but then I wonder what Latitude or Longitude I ve got to?",0,The Adventures of Alice in Wonderland,0,0,1,0
"(Alice had no idea what Latitude was, or Longitude either, but thought they were nice grand words to say.)",0,The Adventures of Alice in Wonderland,0,0,1,0
Presently she began again.,0,The Adventures of Alice in Wonderland,1,0,1,1
I wonder if I shall fall right _through_ the earth!,0,The Adventures of Alice in Wonderland,0,0,1,0
How funny it ll seem to come out among the people that walk with their heads downward!,0,The Adventures of Alice in Wonderland,0,0,1,0
"The Antipathies, I think (she was rather glad there _was_ no one listening, this time, as it didn t sound at all the right word) but I shall have to ask them what the name of the country is, you know.",0,The Adventures of Alice in Wonderland,0,0,1,0
"Please, Ma am, is this New Zealand or Australia?",0,The Adventures of Alice in Wonderland,0,0,1,0
(and she tried to curtsey as she spoke fancy _curtseying_ as you re falling through the air!,0,The Adventures of Alice in Wonderland,1,0,1,0
Do you think you could manage it?),0,The Adventures of Alice in Wonderland,1,0,1,0
And what an ignorant little girl she ll think me for asking!,0,The Adventures of Alice in Wonderland,0,0,1,0
"No, it ll never do to ask: perhaps I shall see it written up somewhere.",0,The Adventures of Alice in Wonderland,0,0,1,0
"There was nothing else to do, so Alice soon began talking again.",0,The Adventures of Alice in Wonderland,0,0,1,0
"Dinah ll miss me very much to-night, I should think!",0,The Adventures of Alice in Wonderland,0,0,1,0
(Dinah was the cat.),0,The Adventures of Alice in Wonderland,1,0,1,0
I hope they ll remember her saucer of milk at tea-time.,0,The Adventures of Alice in Wonderland,0,0,1,0
Dinah my dear!,0,The Adventures of Alice in Wonderland,1,0,1,0
I wish you were down here with me!,0,The Adventures of Alice in Wonderland,1,0,1,1
"There are no mice in the air, I m afraid, but you might catch a bat, and that s very like a mouse, you know.",0,The Adventures of Alice in Wonderland,0,0,1,0
"But do cats eat bats, I wonder?",0,The Adventures of Alice in Wonderland,0,0,1,0
"And here Alice began to get rather sleepy, and went on saying to herself, in a dreamy sort of way, Do cats eat bats?",0,The Adventures of Alice in Wonderland,0,0,1,0
Do cats eat bats?,0,The Adventures of Alice in Wonderland,0,0,1,0
"and sometimes, Do bats eat cats?",0,The Adventures of Alice in Wonderland,0,0,1,0
"for, you see, as she couldn t answer either question, it didn t much matter which way she put it.",0,The Adventures of Alice in Wonderland,1,0,1,0
"She felt that she was dozing off, and had just begun to dream that she was walking hand in hand with Dinah, and saying to her very earnestly, Now, Dinah, tell me the truth: did you ever eat a bat?",0,The Adventures of Alice in Wonderland,0,0,1,0
"when suddenly, thump!",0,The Adventures of Alice in Wonderland,1,0,1,0
thump!,0,The Adventures of Alice in Wonderland,1,0,1,1
"down she came upon a heap of sticks and dry leaves, and the fall was over.",0,The Adventures of Alice in Wonderland,0,0,1,0
"Alice was not a bit hurt, and she jumped up on to her feet in a moment: she looked up, but it was all dark overhead; before her was another long passage, and the White Rabbit was still in sight, hurrying down it.",0,The Adventures of Alice in Wonderland,0,0,1,0
"There was not a moment to be lost: away went Alice like the wind, and was just in time to hear it say, as it turned a corner, Oh my ears and whiskers, how late it s getting!",0,The Adventures of Alice in Wonderland,0,0,1,0
"She was close behind it when she turned the corner, but the Rabbit was no longer to be seen: she found herself in a long, low hall, which was lit up by a row of lamps hanging from the roof.",0,The Adventures of Alice in Wonderland,0,0,1,0
"There were doors all round the hall, but they were all locked; and when Alice had been all the way down one side and up the other, trying every door, she walked sadly down the middle, wondering how she was ever to get out again.",0,The Adventures of Alice in Wonderland,0,0,1,0
"Suddenly she came upon a little three-legged table, all made of solid glass; there was nothing on it except a tiny golden key, and Alice s first thought was that it might belong to one of the doors of the hall; but, alas!",0,The Adventures of Alice in Wonderland,0,0,1,0
"either the locks were too large, or the key was too small, but at any rate it would not open any of them.",0,The Adventures of Alice in Wonderland,0,0,1,0
"However, on the second time round, she came upon a low curtain she had not noticed before, and behind it was a little door about fifteen inches high: she tried the little golden key in the lock, and to her great delight it fitted!",0,The Adventures of Alice in Wonderland,0,0,1,0
"Alice opened the door and found that it led into a small passage, not much larger than a rat-hole: she knelt down and looked along the passage into the loveliest garden you ever saw.",0,The Adventures of Alice in Wonderland,0,0,1,0
"How she longed to get out of that dark hall, and wander about among those beds of bright flowers and those cool fountains, but she could not even get her head through the doorway; and even if my head would go through, thought poor Alice, it would be of very little use without my shoulders.",0,The Adventures of Alice in Wonderland,0,0,1,0
"Oh, how I wish I could shut up like a telescope!",0,The Adventures of Alice in Wonderland,0,0,1,0
"I think I could, if I only knew how to begin.",0,The Adventures of Alice in Wonderland,0,0,1,0
"For, you see, so many out-of-the-way things had happened lately, that Alice had begun to think that very few things indeed were really impossible.",0,The Adventures of Alice in Wonderland,0,0,1,0
"There seemed to be no use in waiting by the little door, so she went back to the table, half hoping she might find another key on it, or at any rate a book of rules for shutting people up like telescopes: this time she found a little bottle on it, ( which certainly was not here before, said Alice,) and round the neck of the bottle was a paper label, with the words DRINK ME, beautifully printed on it in large letters.",0,The Adventures of Alice in Wonderland,0,0,1,0
"It was all very well to say Drink me, but the wise little Alice was not going to do _that_ in a hurry.",0,The Adventures of Alice in Wonderland,0,0,1,0
"No, I ll look first, she said, and see whether it s marked _poison_ or not ; for she had read several nice little histories about children who had got burnt, and eaten up by wild beasts and other unpleasant things, all because they _would_ not remember the simple rules their friends had taught them: such as, that a red-hot poker will burn you if you hold it too long; and that if you cut your finger _very_ deeply with a knife, it usually bleeds; and she had never forgotten that, if you drink much from a bottle marked poison, it is almost certain to disagree with you, sooner or later.",0,The Adventures of Alice in Wonderland,0,0,1,0
"However, this bottle was _not_ marked poison, so Alice ventured to taste it, and finding it very nice, (it had, in fact, a sort of mixed flavour of cherry-tart, custard, pine-apple, roast turkey, toffee, and hot buttered toast,) she very soon finished it off.",0,The Adventures of Alice in Wonderland,0,0,1,0
* * * * * * * * * * * * * * * * * * * * What a curious feeling!,0,The Adventures of Alice in Wonderland,0,0,1,0
said Alice; I must be shutting up like a telescope.,0,The Adventures of Alice in Wonderland,0,0,1,0
"And so it was indeed: she was now only ten inches high, and her face brightened up at the thought that she was now the right size for going through the little door into that lovely garden.",0,The Adventures of Alice in Wonderland,0,0,1,0
"First, however, she waited for a few minutes to see if she was going to shrink any further: she felt a little nervous about this; for it might end, you know, said Alice to herself, in my going out altogether, like a candle.",0,The Adventures of Alice in Wonderland,0,0,1,0
I wonder what I should be like then?,0,The Adventures of Alice in Wonderland,0,0,1,0
"And she tried to fancy what the flame of a candle is like after the candle is blown out, for she could not remember ever having seen such a thing.",0,The Adventures of Alice in Wonderland,1,0,1,0
"After a while, finding that nothing more happened, she decided on going into the garden at once; but, alas for poor Alice!",0,The Adventures of Alice in Wonderland,0,0,1,0
"when she got to the door, she found she had forgotten the little golden key, and when she went back to the table for it, she found she could not possibly reach it: she could see it quite plainly through the glass, and she tried her best to climb up one of the legs of the table, but it was too slippery; and when she had tired herself out with trying, the poor little thing sat down and cried.",0,The Adventures of Alice in Wonderland,0,0,1,0
"Come, there s no use in crying like that!",0,The Adventures of Alice in Wonderland,1,1,1,0
"said Alice to herself, rather sharply; I advise you to leave off this minute!",0,The Adventures of Alice in Wonderland,0,0,1,1
"She generally gave herself very good advice, (though she very seldom followed it), and sometimes she scolded herself so severely as to bring tears into her eyes; and once she remembered trying to box her own ears for having cheated herself in a game of croquet she was playing against herself, for this curious child was very fond of pretending to be two people.",0,The Adventures of Alice in Wonderland,0,0,1,0
"But it s no use now, thought poor Alice, to pretend to be two people!",0,The Adventures of Alice in Wonderland,0,0,1,0
"Why, there s hardly enough of me left to make _one_ respectable person!",0,The Adventures of Alice in Wonderland,0,0,1,0
"Soon her eye fell on a little glass box that was lying under the table: she opened it, and found in it a very small cake, on which the words EAT ME were beautifully marked in currants.",0,The Adventures of Alice in Wonderland,0,0,1,0
"Well, I ll eat it, said Alice, and if it makes me grow larger, I can reach the key; and if it makes me grow smaller, I can creep under the door; so either way I ll get into the garden, and I don t care which happens!",0,The Adventures of Alice in Wonderland,0,0,1,0
"She ate a little bit, and said anxiously to herself, Which way?",0,The Adventures of Alice in Wonderland,1,0,1,1
Which way?,0,The Adventures of Alice in Wonderland,1,0,1,0
", holding her hand on the top of her head to feel which way it was growing, and she was quite surprised to find that she remained the same size: to be sure, this generally happens when one eats cake, but Alice had got so much into the way of expecting nothing but out-of-the-way things to happen, that it seemed quite dull and stupid for life to go on in the common way.",0,The Adventures of Alice in Wonderland,0,0,1,0
"So she set to work, and very soon finished off the cake.",0,The Adventures of Alice in Wonderland,0,0,1,0
* * * * * * * * * * * * * * * * * * * * CHAPTER II.,0,The Adventures of Alice in Wonderland,0,0,1,0
The Pool of Tears Curiouser and curiouser!,0,The Adventures of Alice in Wonderland,0,0,1,0
"cried Alice (she was so much surprised, that for the moment she quite forgot how to speak good English); now I m opening out like the largest telescope that ever was!",0,The Adventures of Alice in Wonderland,0,0,1,0
"Good-bye, feet!",0,The Adventures of Alice in Wonderland,1,0,1,1
"(for when she looked down at her feet, they seemed to be almost out of sight, they were getting so far off).",0,The Adventures of Alice in Wonderland,0,0,1,0
"Oh, my poor little feet, I wonder who will put on your shoes and stockings for you now, dears?",0,The Adventures of Alice in Wonderland,0,0,1,0
I m sure _I_ shan t be able!,0,The Adventures of Alice in Wonderland,1,0,1,0
"I shall be a great deal too far off to trouble myself about you: you must manage the best way you can; but I must be kind to them, thought Alice, or perhaps they won t walk the way I want to go!",0,The Adventures of Alice in Wonderland,0,0,1,0
Let me see: I ll give them a new pair of boots every Christmas.,0,The Adventures of Alice in Wonderland,0,0,1,0
And she went on planning to herself how she would manage it.,0,The Adventures of Alice in Wonderland,1,0,1,1
"They must go by the carrier, she thought; and how funny it ll seem, sending presents to one s own feet!",0,The Adventures of Alice in Wonderland,0,0,1,0
And how odd the directions will look!,0,The Adventures of Alice in Wonderland,0,0,1,0
"_Alice s Right Foot, Esq., Hearthrug, near the Fender,_ (_with Alice s love_).",0,The Adventures of Alice in Wonderland,0,0,1,0
"Oh dear, what nonsense I m talking!",0,The Adventures of Alice in Wonderland,1,0,1,1
"Just then her head struck against the roof of the hall: in fact she was now more than nine feet high, and she at once took up the little golden key and hurried off to the garden door.",0,The Adventures of Alice in Wonderland,0,0,1,0
Poor Alice!,0,The Adventures of Alice in Wonderland,0,1,1,0
"It was as much as she could do, lying down on one side, to look through into the garden with one eye; but to get through was more hopeless than ever: she sat down and began to cry again.",0,The Adventures of Alice in Wonderland,0,0,1,0
"You ought to be ashamed of yourself, said Alice, a great girl like you, (she might well say this), to go on crying in this way!",0,The Adventures of Alice in Wonderland,0,0,1,0
"Stop this moment, I tell you!",0,The Adventures of Alice in Wonderland,1,0,1,1
"But she went on all the same, shedding gallons of tears, until there was a large pool all round her, about four inches deep and reaching half down the hall.",0,The Adventures of Alice in Wonderland,0,0,1,0
"After a time she heard a little pattering of feet in the distance, and she hastily dried her eyes to see what was coming.",0,The Adventures of Alice in Wonderland,1,0,1,1
"It was the White Rabbit returning, splendidly dressed, with a pair of white kid gloves in one hand and a large fan in the other: he came trotting along in a great hurry, muttering to himself as he came, Oh!",0,The Adventures of Alice in Wonderland,0,0,1,0
"the Duchess, the Duchess!",0,The Adventures of Alice in Wonderland,1,0,1,0
Oh!,0,The Adventures of Alice in Wonderland,1,1,1,1
won t she be savage if I ve kept her waiting!,0,The Adventures of Alice in Wonderland,0,0,1,0
"Alice felt so desperate that she was ready to ask help of any one; so, when the Rabbit came near her, she began, in a low, timid voice, If you please, sir The Rabbit started violently, dropped the white kid gloves and the fan, and skurried away into the darkness as hard as he could go.",0,The Adventures of Alice in Wonderland,0,0,1,0
"Alice took up the fan and gloves, and, as the hall was very hot, she kept fanning herself all the time she went on talking: Dear, dear!",0,The Adventures of Alice in Wonderland,0,0,1,0
How queer everything is to-day!,0,The Adventures of Alice in Wonderland,1,0,1,0
And yesterday things went on just as usual.,0,The Adventures of Alice in Wonderland,0,0,1,0
I wonder if I ve been changed in the night?,0,The Adventures of Alice in Wonderland,0,0,1,0
Let me think: was I the same when I got up this morning?,0,The Adventures of Alice in Wonderland,0,0,1,0
I almost think I can remember feeling a little different.,0,The Adventures of Alice in Wonderland,0,0,1,0
"But if I m not the same, the next question is, Who in the world am I?",0,The Adventures of Alice in Wonderland,1,0,1,0
"Ah, _that s_ the great puzzle!",0,The Adventures of Alice in Wonderland,0,0,1,0
"And she began thinking over all the children she knew that were of the same age as herself, to see if she could have been changed for any of them.",0,The Adventures of Alice in Wonderland,0,0,1,0
"I m sure I m not Ada, she said, for her hair goes in such long ringlets, and mine doesn t go in ringlets at all; and I m sure I can t be Mabel, for I know all sorts of things, and she, oh!",0,The Adventures of Alice in Wonderland,0,0,1,0
she knows such a very little!,0,The Adventures of Alice in Wonderland,0,0,1,0
"Besides, _she s_ she, and _I m_ I, and oh dear, how puzzling it all is!",0,The Adventures of Alice in Wonderland,0,0,1,0
I ll try if I know all the things I used to know.,0,The Adventures of Alice in Wonderland,0,0,1,0
"Let me see: four times five is twelve, and four times six is thirteen, and four times seven is oh dear!",0,The Adventures of Alice in Wonderland,0,0,1,0
I shall never get to twenty at that rate!,0,The Adventures of Alice in Wonderland,0,0,1,0
"However, the Multiplication Table doesn t signify: let s try Geography.",0,The Adventures of Alice in Wonderland,0,0,1,0
"London is the capital of Paris, and Paris is the capital of Rome, and Rome no, _that s_ all wrong, I m certain!",0,The Adventures of Alice in Wonderland,0,0,1,0
I must have been changed for Mabel!,0,The Adventures of Alice in Wonderland,0,0,1,0
"I ll try and say _How doth the little_ and she crossed her hands on her lap as if she were saying lessons, and began to repeat it, but her voice sounded hoarse and strange, and the words did not come the same as they used to do: How doth the little crocodile Improve his shining tail, And pour the waters of the Nile On every golden scale!",0,The Adventures of Alice in Wonderland,0,0,1,0
"How cheerfully he seems to grin, How neatly spread his claws, And welcome little fishes in With gently smiling jaws!",0,The Adventures of Alice in Wonderland,1,0,1,0
"I m sure those are not the right words, said poor Alice, and her eyes filled with tears again as she went on, I must be Mabel after all, and I shall have to go and live in that poky little house, and have next to no toys to play with, and oh!",0,The Adventures of Alice in Wonderland,0,0,1,0
ever so many lessons to learn!,0,The Adventures of Alice in Wonderland,0,0,1,0
"No, I ve made up my mind about it; if I m Mabel, I ll stay down here!",0,The Adventures of Alice in Wonderland,0,0,1,0
"It ll be no use their putting their heads down and saying Come up again, dear!",0,The Adventures of Alice in Wonderland,0,0,1,0
I shall only look up and say Who am I then?,0,The Adventures of Alice in Wonderland,1,1,1,0
"Tell me that first, and then, if I like being that person, I ll come up: if not, I ll stay down here till I m somebody else but, oh dear!",0,The Adventures of Alice in Wonderland,0,0,1,0
"cried Alice, with a sudden burst of tears, I do wish they _would_ put their heads down!",0,The Adventures of Alice in Wonderland,1,0,1,0
I am so _very_ tired of being all alone here!,0,The Adventures of Alice in Wonderland,0,0,1,1
"As she said this she looked down at her hands, and was surprised to see that she had put on one of the Rabbit s little white kid gloves while she was talking.",0,The Adventures of Alice in Wonderland,0,0,1,0
How _can_ I have done that?,0,The Adventures of Alice in Wonderland,0,0,1,1
she thought.,0,The Adventures of Alice in Wonderland,1,0,1,1
I must be growing small again.,0,The Adventures of Alice in Wonderland,0,0,1,0
"She got up and went to the table to measure herself by it, and found that, as nearly as she could guess, she was now about two feet high, and was going on shrinking rapidly: she soon found out that the cause of this was the fan she was holding, and she dropped it hastily, just in time to avoid shrinking away altogether.",0,The Adventures of Alice in Wonderland,0,0,1,0
That _was_ a narrow escape!,0,The Adventures of Alice in Wonderland,0,0,1,0
"said Alice, a good deal frightened at the sudden change, but very glad to find herself still in existence; and now for the garden!",0,The Adventures of Alice in Wonderland,0,0,1,0
"and she ran with all speed back to the little door: but, alas!",0,The Adventures of Alice in Wonderland,1,0,1,1
"the little door was shut again, and the little golden key was lying on the glass table as before, and things are worse than ever, thought the poor child, for I never was so small as this before, never!",0,The Adventures of Alice in Wonderland,0,0,1,0
"And I declare it s too bad, that it is!",0,The Adventures of Alice in Wonderland,1,0,1,0
"As she said these words her foot slipped, and in another moment, splash!",0,The Adventures of Alice in Wonderland,0,0,1,0
she was up to her chin in salt water.,0,The Adventures of Alice in Wonderland,0,0,1,0
"Her first idea was that she had somehow fallen into the sea, and in that case I can go back by railway, she said to herself.",0,The Adventures of Alice in Wonderland,0,0,1,0
"(Alice had been to the seaside once in her life, and had come to the general conclusion, that wherever you go to on the English coast you find a number of bathing machines in the sea, some children digging in the sand with wooden spades, then a row of lodging houses, and behind them a railway station.)",0,The Adventures of Alice in Wonderland,0,0,1,0
"However, she soon made out that she was in the pool of tears which she had wept when she was nine feet high.",0,The Adventures of Alice in Wonderland,1,1,1,0
I wish I hadn t cried so much!,0,The Adventures of Alice in Wonderland,1,1,1,1
"said Alice, as she swam about, trying to find her way out.",0,The Adventures of Alice in Wonderland,0,0,1,0
"I shall be punished for it now, I suppose, by being drowned in my own tears!",0,The Adventures of Alice in Wonderland,0,1,1,0
"That _will_ be a queer thing, to be sure!",0,The Adventures of Alice in Wonderland,1,0,1,0
"However, everything is queer to-day.",0,The Adventures of Alice in Wonderland,1,0,1,0
"Just then she heard something splashing about in the pool a little way off, and she swam nearer to make out what it was: at first she thought it must be a walrus or hippopotamus, but then she remembered how small she was now, and she soon made out that it was only a mouse that had slipped in like herself.",0,The Adventures of Alice in Wonderland,0,0,1,0
"Would it be of any use, now, thought Alice, to speak to this mouse?",0,The Adventures of Alice in Wonderland,0,0,1,0
"Everything is so out-of-the-way down here, that I should think very likely it can talk: at any rate, there s no harm in trying.",0,The Adventures of Alice in Wonderland,0,0,1,0
"So she began: O Mouse, do you know the way out of this pool?",0,The Adventures of Alice in Wonderland,0,0,1,0
"I am very tired of swimming about here, O Mouse!",0,The Adventures of Alice in Wonderland,0,0,1,0
"(Alice thought this must be the right way of speaking to a mouse: she had never done such a thing before, but she remembered having seen in her brother s Latin Grammar, A mouse of a mouse to a mouse a mouse O mouse! )",0,The Adventures of Alice in Wonderland,0,0,1,0
"The Mouse looked at her rather inquisitively, and seemed to her to wink with one of its little eyes, but it said nothing.",0,The Adventures of Alice in Wonderland,0,0,1,0
"Perhaps it doesn t understand English, thought Alice; I daresay it s a French mouse, come over with William the Conqueror.",0,The Adventures of Alice in Wonderland,0,0,1,0
"(For, with all her knowledge of history, Alice had no very clear notion how long ago anything had happened.)",0,The Adventures of Alice in Wonderland,0,0,1,0
So she began again: O est ma chatte?,0,The Adventures of Alice in Wonderland,1,0,1,0
which was the first sentence in her French lesson-book.,0,The Adventures of Alice in Wonderland,0,0,1,0
"The Mouse gave a sudden leap out of the water, and seemed to quiver all over with fright.",0,The Adventures of Alice in Wonderland,0,0,1,0
"Oh, I beg your pardon!",0,The Adventures of Alice in Wonderland,1,1,1,1
"cried Alice hastily, afraid that she had hurt the poor animal s feelings.",0,The Adventures of Alice in Wonderland,0,0,1,0
I quite forgot you didn t like cats.,0,The Adventures of Alice in Wonderland,0,0,1,0
Not like cats!,0,The Adventures of Alice in Wonderland,1,0,1,0
"cried the Mouse, in a shrill, passionate voice.",0,The Adventures of Alice in Wonderland,0,0,1,0
Would _you_ like cats if you were me?,0,The Adventures of Alice in Wonderland,1,0,1,0
"Well, perhaps not, said Alice in a soothing tone: don t be angry about it.",0,The Adventures of Alice in Wonderland,0,0,1,0
And yet I wish I could show you our cat Dinah: I think you d take a fancy to cats if you could only see her.,0,The Adventures of Alice in Wonderland,0,0,1,0
"She is such a dear quiet thing, Alice went on, half to herself, as she swam lazily about in the pool, and she sits purring so nicely by the fire, licking her paws and washing her face and she is such a nice soft thing to nurse and she s such a capital one for catching mice oh, I beg your pardon!",0,The Adventures of Alice in Wonderland,0,0,1,0
"cried Alice again, for this time the Mouse was bristling all over, and she felt certain it must be really offended.",0,The Adventures of Alice in Wonderland,0,0,1,0
We won t talk about her any more if you d rather not.,0,The Adventures of Alice in Wonderland,0,0,1,0
We indeed!,0,The Adventures of Alice in Wonderland,1,0,1,1
"cried the Mouse, who was trembling down to the end of his tail.",0,The Adventures of Alice in Wonderland,0,0,1,0
As if _I_ would talk on such a subject!,0,The Adventures of Alice in Wonderland,0,0,1,0
"Our family always _hated_ cats: nasty, low, vulgar things!",0,The Adventures of Alice in Wonderland,0,0,1,0
Don t let me hear the name again!,0,The Adventures of Alice in Wonderland,0,0,1,0
I won t indeed!,0,The Adventures of Alice in Wonderland,1,0,1,1
"said Alice, in a great hurry to change the subject of conversation.",0,The Adventures of Alice in Wonderland,1,0,1,0
Are you are you fond of of dogs?,0,The Adventures of Alice in Wonderland,0,0,1,0
"The Mouse did not answer, so Alice went on eagerly: There is such a nice little dog near our house I should like to show you!",0,The Adventures of Alice in Wonderland,0,0,1,0
"A little bright-eyed terrier, you know, with oh, such long curly brown hair!",0,The Adventures of Alice in Wonderland,0,0,1,0
"And it ll fetch things when you throw them, and it ll sit up and beg for its dinner, and all sorts of things I can t remember half of them and it belongs to a farmer, you know, and he says it s so useful, it s worth a hundred pounds!",0,The Adventures of Alice in Wonderland,0,0,1,0
He says it kills all the rats and oh dear!,0,The Adventures of Alice in Wonderland,0,0,1,0
"cried Alice in a sorrowful tone, I m afraid I ve offended it again!",0,The Adventures of Alice in Wonderland,0,0,1,1
"For the Mouse was swimming away from her as hard as it could go, and making quite a commotion in the pool as it went.",0,The Adventures of Alice in Wonderland,0,0,1,0
"So she called softly after it, Mouse dear!",0,The Adventures of Alice in Wonderland,0,0,1,0
"Do come back again, and we won t talk about cats or dogs either, if you don t like them!",0,The Adventures of Alice in Wonderland,0,0,1,0
"When the Mouse heard this, it turned round and swam slowly back to her: its face was quite pale (with passion, Alice thought), and it said in a low trembling voice, Let us get to the shore, and then I ll tell you my history, and you ll understand why it is I hate cats and dogs.",0,The Adventures of Alice in Wonderland,0,0,1,0
"It was high time to go, for the pool was getting quite crowded with the birds and animals that had fallen into it: there were a Duck and a Dodo, a Lory and an Eaglet, and several other curious creatures.",0,The Adventures of Alice in Wonderland,0,0,1,0
"Alice led the way, and the whole party swam to the shore.",0,The Adventures of Alice in Wonderland,0,0,1,0
CHAPTER III.,0,The Adventures of Alice in Wonderland,0,0,1,0
"A Caucus-Race and a Long Tale They were indeed a queer-looking party that assembled on the bank the birds with draggled feathers, the animals with their fur clinging close to them, and all dripping wet, cross, and uncomfortable.",0,The Adventures of Alice in Wonderland,0,0,1,0
"The first question of course was, how to get dry again: they had a consultation about this, and after a few minutes it seemed quite natural to Alice to find herself talking familiarly with them, as if she had known them all her life.",0,The Adventures of Alice in Wonderland,0,0,1,0
"Indeed, she had quite a long argument with the Lory, who at last turned sulky, and would only say, I am older than you, and must know better; and this Alice would not allow without knowing how old it was, and, as the Lory positively refused to tell its age, there was no more to be said.",0,The Adventures of Alice in Wonderland,1,0,1,0
"At last the Mouse, who seemed to be a person of authority among them, called out, Sit down, all of you, and listen to me!",0,The Adventures of Alice in Wonderland,0,0,1,0
_I ll_ soon make you dry enough!,0,The Adventures of Alice in Wonderland,0,0,1,0
"They all sat down at once, in a large ring, with the Mouse in the middle.",0,The Adventures of Alice in Wonderland,0,0,1,0
"Alice kept her eyes anxiously fixed on it, for she felt sure she would catch a bad cold if she did not get dry very soon.",0,The Adventures of Alice in Wonderland,0,0,1,0
Ahem!,0,The Adventures of Alice in Wonderland,1,1,1,1
"said the Mouse with an important air, are you all ready?",0,The Adventures of Alice in Wonderland,0,0,1,0
This is the driest thing I know.,0,The Adventures of Alice in Wonderland,0,0,1,0
"Silence all round, if you please!",0,The Adventures of Alice in Wonderland,1,0,1,1
"William the Conqueror, whose cause was favoured by the pope, was soon submitted to by the English, who wanted leaders, and had been of late much accustomed to usurpation and conquest.",0,The Adventures of Alice in Wonderland,0,0,1,0
"Edwin and Morcar, the earls of Mercia and Northumbria Ugh!",0,The Adventures of Alice in Wonderland,0,0,1,0
"said the Lory, with a shiver.",0,The Adventures of Alice in Wonderland,1,0,1,0
I beg your pardon!,0,The Adventures of Alice in Wonderland,1,1,1,1
"said the Mouse, frowning, but very politely: Did you speak?",0,The Adventures of Alice in Wonderland,0,0,1,0
Not I!,0,The Adventures of Alice in Wonderland,1,0,1,1
said the Lory hastily.,0,The Adventures of Alice in Wonderland,1,0,1,0
"I thought you did, said the Mouse.",0,The Adventures of Alice in Wonderland,0,0,1,0
I proceed.,0,The Adventures of Alice in Wonderland,1,1,1,1
